days,A,A_errors
-13.0869894,0.491849066,0.59771169
-12.0634536,0.594247882,0.75022263
-11.01868905,0.599139864,0.83033934
-10.04429926,0.598506556,0.75169604
-9.119734011,0.739966913,0.86530376
-8.084275218,0.678012576,0.82841679
-7.040673892,0.674548768,0.91129615
-6.061631221,0.70733862,0.82712756
-5.040421861,0.793025856,0.91555482
-4.009131269,0.951129938,1.10993518
-2.970182819,0.914242971,1.03122403
-2.053760105,0.997212798,1.15040228
-1.02712239,1.121893721,1.34750005
-0.071925709,1.483389879,1.55025882
0.966247262,1.440932385,1.59412187
1.961768868,1.092095927,1.27594592
2.999457164,0.796156854,0.95493948
4.028421318,0.937549356,1.11302094
5.045753281,0.995383959,1.10960237
5.992710494,1.047693272,1.15353328
6.961574999,0.757369962,0.95231578
7.954188558,0.887644029,1.02414455
8.922762257,0.845231771,0.9482639
9.912661639,0.956008996,1.03118849
10.92330509,0.715797807,0.8745352
11.92086233,0.631583981,0.74856504
12.9137667,0.513946996,0.67549227
13.95959753,0.276498452,0.51331369
