days,T,T_errors
-13.01159962,0.100725038,0.13927109
-11.9729152,0.120339756,0.14963785
-11.00772647,0.120662106,0.16999745
-10.00601306,0.131786634,0.16028828
-9.000133899,0.121332593,0.17913233
-8.000205808,0.14170508,0.1810089
-7.031000102,0.121219522,0.15127539
-6.067745463,0.131560494,0.17163498
-5.031143919,0.161964497,0.18046041
-3.988740085,0.162312634,0.20161646
-3.021617252,0.152616362,0.18111801
-2.059999157,0.171434629,0.20150339
-1.096744518,0.1817756,0.22186298
-0.098750524,0.212166709,0.25148343
0.891507083,0.282632306,0.32117836
1.876185564,0.181997773,0.23133311
2.874328335,0.211618219,0.2308848
3.841748721,0.20038062,0.23122004
4.922760105,0.200741652,0.24930633
5.82427242,0.13090786,0.16020596
6.909300774,0.110460985,0.14205818
7.905509449,0.150100052,0.18016881
8.874566378,0.130385158,0.15968325
9.888330701,0.079085966,0.12072757
10.88409304,0.121037023,0.14879379
11.93423327,0.081310673,0.12987535
13.00423518,0.138700783,0.17800461
